mcc,merch_name,dispute_counts,all_transaction_counts
0000,EFT:12034088,1,1
0000,EFT:12317248,1,1
3000,UNITED      0167509490130,1,1
3502,BEST WESTERN PLUS MEDI,1,5
3510,DAYS INN LENOIR CITY,1,2
3516,LA QUINTA INNS  0625,1,4
4214,SQ *ADVANCE AUTO,1,1
4722,HOTELSCOM9200618092451,1,1
4829,CASH APP*CAMERON TU,1,1
4829,CASH APP*PATRICIA,2,36
4829,FB *Adam Nunes,1,4
4829,RIA FINANCIAL SERVICES,1,125
4899,HLU*Hulu 1675288522099-U,1,1
5045,IDSTRONG.COM,1,3
5045,WEBWATCHER.COM,3,45
5047,BABYDOPPLER.COM,2,25
5310,DOLLAR GENERAL #2649 E 79,1,10
5310,DOLLAR GENERAL #HIGHWAY 2,1,428
5310,DOLLAR-GENERAL # 18350 HI,1,10
5310,DOLLAR-GENERAL # 624 FAIR,1,16
5310,WAL-MART #32Wal-Mart Stor,1,91
5331,DOLLAR TREE6887 KATELLA A,1,9
5331,FAMILY DOLLAR #02315425 O,1,34
5399,SP * MYPHONECASE.COM,2,35
5399,SQ *ASIA,1,2
5399,SQ *CAITLIN MCGEE,1,1
5399,SUPER-FAME,1,5
5399,"VOSS ENTERPRISES, INC",1,1
5411,FIVE STAR MARKET,1,24
5411,NBS 8,1,32
5411,WAL Wal-Mart Super 520873,1,3
5411,WAL Wal-Mart Super 752100,1,3
5411,WAL Wal-Mart Super 840418,1,1
5411,WAL-MART #25641036 U.S. H,1,43
5411,WAL-MART #32071601 RINEHA,1,66
5411,WAL-MART #347639500 FORD,1,82
5411,WAL-MART #3728,2,15
5411,WALMART #24648270 DELTA S,1,98
5499,"A JOINT EFFORT, INC.",1,5
5499,NNT PANTRY 1 FOOD M480391,1,1
5499,SQ *LING NAM STARBR,1,2
5499,TOBACCO STOP,1,39
5521,M AND J AUTO SALES,1,2
5533,O'REILLY AUTO PARTS 29577,1,3
5541,BP#88633421259 E 5TH AVE,1,31
